Max=, =MAX(A2
MIN=, =Min(A2
0.946432, 0.5
0.616433, 0.2
2.16007, 1
0.972269, 0.25
0.627406, 0.142857
2.29744, 0.5
0.999527, 0.166667
0.638764, 1
2.45375, 0.25
1.02833, 0.125
0.650506, 0.333333
2.63268, 0.166667
1.05875, 1
0.662698, 0.2
2.83952, 0.125
1.09098, 0.333333
0.675307, 0.166667
3.08137, 0.5
1.12527, 0.2
0.688428, 0.125
3.36714, 0.333333
1.16175, 0.142857
0.702055, 0.5
3.71189, 0.2
1.20063, 1
0.71619, 0.25
4.13481, 0.142857
1.24209, 0.5
0.730918, 0.166667
4.66585, 1
1.28646, 0.25
0.746209, 0.142857
5.35108, 0.333333
1.33415, 0.166667
0.762178, 1
6.27282, 0.25
1.38546, 0.125
0.778796, 0.333333
7.57709, 0.166667
1.44081, 0.5
0.79617, 0.2
9.5635, 0.125
1.50051, 0.333333
0.814317, 0.142857
12.9567, 0.5
1.56552, 0.2
0.833246, 0.125
20.0492, 0.25
1.63633, 0.142857
0.853102, 0.5
44.3426, 0.2
1.71377, 1
0.873866, 0.25
0.586529, 0.142857
1.79882, 0.333333
0.895683, 0.166667
0.59638, 1
1.89235, 0.25
0.918594, 0.125
0.606538, 0.333333
1.99636, 0.166667
0.942633, 1
0.617056, 0.2
2.11233, 0.125
0.96794, 0.333333
0.627902, 0.166667
2.24247, 0.5
0.994667, 0.2
0.639158, 0.125
2.38911, 0.333333
1.02288, 0.142857
0.650812, 0.5
2.55657, 0.2
1.05271, 1
0.662864, 0.25
2.74907, 0.142857
1.08424, 0.5
0.675382, 0.166667
2.97266, 1
1.11768, 0.25
0.688331, 0.142857
3.23555, 0.333333
1.15328, 0.166667
0.701811, 1
3.54825, 0.25
1.19119, 0.125
0.715814, 0.333333
3.92847, 0.166667
1.23162, 0.5
0.730344, 0.2
4.39941, 0.125
1.2747, 0.333333
0.745489, 0.142857
4.99793, 0.5
1.32101, 0.2
0.761219, 0.125
5.78227, 0.25
1.37077, 0.142857
0.777653, 0.5
6.85938, 0.2
Max=, =MAX(A2
MIN=, =Min(A2
Max=, =MAX(A2
MIN=, =Min(A2
1.38546, 0.125
7.57709, 0.166667
0.79617, 0.2
1.50051, 0.333333
12.9567, 0.5
0.833246, 0.125
1.63633, 0.142857
44.3426, 0.2
0.873866, 0.25
1.79882, 0.333333
0.59638, 1
0.918594, 0.125
1.99636, 0.166667
0.617056, 0.2
0.96794, 0.333333
2.24247, 0.5
0.639158, 0.125
1.02288, 0.142857
2.55657, 0.2
0.662864, 0.25
1.08424, 0.5
2.97266, 1
0.688331, 0.142857
1.15328, 0.166667
3.54825, 0.25
0.715814, 0.333333
1.23162, 0.5
4.39941, 0.125
0.745489, 0.142857
1.32101, 0.2
5.78227, 0.25
0.777653, 0.5
1.42436, 1
8.42826, 0.142857
0.812652, 0.166667
1.54477, 0.25
15.514, 0.333333
0.850862, 1
1.68735, 0.125
95.8663, 0.166667
0.89276, 0.2
Max=, =MAX(A2
MIN=, =Min(A2
1.07772, 0.5
2.87337, 0.125
0.688272, 0.142857
1.14511, 0.2
3.40213, 0.25
0.715419, 0.5
1.22147, 1
4.16635, 0.142857
0.744747, 0.166667
1.30839, 0.25
5.37207, 0.333333
0.776504, 1
1.4086, 0.125
7.55027, 0.166667
0.811029, 0.2
1.52517, 0.25
12.6916, 0.5
0.848722, 1
1.66225, 0.142857
39.5253, 0.166667
0.889955, 0.25
1.82631, 0.333333
0.607878, 1
0.93531, 0.125
2.02553, 0.166667
0.628898, 0.2
0.985427, 0.333333
2.27338, 0.5
0.651364, 0.125
1.0411, 0.142857
2.58913, 0.2
0.675481, 0.25
1.10337, 0.333333
3.00642, 1
0.701373, 0.125
1.17329, 0.166667
3.58267, 0.2
0.72926, 0.333333
1.25264, 0.5
4.42883, 0.125
0.759405, 0.142857
1.34315, 0.2
5.79682, 0.25
0.792072, 0.5
1.44771, 1
8.37606, 0.142857
0.827611, 0.166667
1.56967, 0.2
15.0794, 0.333333
25.1131, 0.2
0.887184, 0.333333
1.79579, 0.5
0.60852, 0.125
0.931776, 0.142857
1.98615, 0.2
0.629386, 0.25
0.981033, 0.333333
2.22103, 1
0.651665, 0.125
1.03557, 0.166667
